
# Surface 0 of 1 surfaces

# Curve title: "'outputs/function.dat' using 1:2:3"

# Contour 0, label:        0
 0.565854  3.52056 -20 
 0.613816  3.55 -20 
 0.696341  3.59935 -20 
 0.826829  3.67731 -20 
 0.865098  3.7 -20 
 0.957317  3.75327 -20 
 1.0878  3.8286 -20 
 1.12522  3.85 -20 
 1.21829  3.90189 -20 
 1.34878  3.97451 -20 
 1.39499  4 -20 
 1.47927  4.04531 -20 
 1.60976  4.11515 -20 
 1.67534  4.15 -20 
 1.74024  4.18361 -20 
 1.87073  4.25061 -20 
 1.96732  4.3 -20 
 2.00122  4.3169 -20 
 2.13171  4.38098 -20 
 2.2622  4.44502 -20 
 2.27254  4.45 -20 
 2.39268  4.50635 -20 
 2.52317  4.5673 -20 
 2.59404  4.6 -20 
 2.65366  4.62681 -20 
 2.78415  4.6846 -20 
 2.91463  4.74209 -20 
 2.93301  4.75 -20 
 3.04512  4.79702 -20 
 3.17561  4.85117 -20 
 3.2945  4.9 -20 
 3.3061  4.90464 -20 
 3.43659  4.95539 -20 
 3.56707  5.00555 -20 
 3.68442  5.05 -20 
 3.69756  5.05485 -20 
 3.82805  5.10142 -20 
 3.95854  5.14722 -20 
 4.08902  5.19219 -20 
 4.11254  5.2 -20 
 4.21951  5.23457 -20 
 4.35  5.2756 -20 
 4.48049  5.3156 -20 
 4.59621  5.35 -20 
 4.61098  5.35427 -20 
 4.74146  5.39012 -20 
 4.87195  5.42468 -20 
 5.00244  5.45787 -20 
 5.13293  5.4896 -20 
 5.17859  5.5 -20 
 5.26341  5.51876 -20 
 5.3939  5.54574 -20 
 5.52439  5.57094 -20 
 5.65488  5.59424 -20 
 5.78537  5.61551 -20 
 5.91585  5.63458 -20 
 6.03655  5.65 -20 
 6.04634  5.65121 -20 
 6.17683  5.66457 -20 
 6.30732  5.67529 -20 
 6.4378  5.68317 -20 
 6.56829  5.68798 -20 
 6.69878  5.68948 -20 
 6.82927  5.68737 -20 
 6.95976  5.68135 -20 
 7.09024  5.67107 -20 
 7.22073  5.65612 -20 
 7.26143  5.65 -20 
 7.35122  5.63497 -20 
 7.48171  5.60717 -20 
 7.6122  5.57251 -20 
 7.74268  5.53019 -20 
 7.82133  5.5 -20 
 7.87317  5.47722 -20 
 8.00366  5.41024 -20 
 8.10341  5.35 -20 
 8.13415  5.32813 -20 
 8.26463  5.22128 -20 
 8.28747  5.2 -20 
 8.39512  5.07639 -20 


# Contour 2, label:      -40
 7.51768  0.1 -40 
 7.48171  0.0687951 -40 
 7.35122 -0.0446508 -40 
 7.34506 -0.05 -40 
 7.22073 -0.15544 -40 
 7.16835 -0.2 -40 
 7.09024 -0.264974 -40 
 6.98834 -0.35 -40 
 6.95976 -0.373335 -40 
 6.82927 -0.479839 -40 
 6.80455 -0.5 -40 
 6.69878 -0.584416 -40 
 6.61686 -0.65 -40 
 6.56829 -0.688059 -40 
 6.4378 -0.790478 -40 
 6.42564 -0.8 -40 
 6.30732 -0.890643 -40 
 6.23008 -0.95 -40 
 6.17683 -0.99008 -40 
 6.04634 -1.08842 -40 
 6.03092 -1.1 -40 
 5.91585 -1.18466 -40 
 5.82732 -1.25 -40 
 5.78537 -1.28034 -40 
 5.65488 -1.37462 -40 
 5.61969 -1.4 -40 
 5.52439 -1.46736 -40 
 5.40784 -1.55 -40 
 5.3939 -1.55969 -40 
 5.26341 -1.64994 -40 
 5.19116 -1.7 -40 
 5.13293 -1.73956 -40 
 5.00244 -1.82816 -40 
 4.97017 -1.85 -40 
 4.87195 -1.91517 -40 
 4.74453 -2 -40 

 8.52561  7.48002 -40 
 8.6561  7.47776 -40 
 8.78659  7.47269 -40 
 8.91707  7.46462 -40 
 9.04756  7.45337 -40 
 9.07805  7.45 -40 
 9.17805  7.43811 -40 
 9.30854  7.4188 -40 
 9.43902  7.39533 -40 
 9.56951  7.3674 -40 
 9.7  7.33465 -40 
 9.81943  7.3 -40 
 9.83049  7.29649 -40 
 9.96098  7.25001 -40 
 10.0915  7.19683 -40 
 10.1932  7.15 -40 
 10.222  7.1353 -40 
 10.3524  7.06136 -40 
 10.4488  7 -40 
 10.4829  6.97551 -40 
 10.6134  6.87179 -40 
 10.6383  6.85 -40 
 10.7439  6.74359 -40 
