# x y
1.000000000000e+01 1.300000000000e+01
1.165853658537e+01 6.365853658537e+00
4.360975609756e+00 4.541463414634e+00
4.850446162998e+00 2.583581201666e+00
2.696775728733e+00 2.045163593099e+00
2.841229233470e+00 1.467349574150e+00
2.205633812626e+00 1.308450718939e+00
2.248265212805e+00 1.137925118225e+00
2.060687052019e+00 1.091030578028e+00
2.073268514023e+00 1.040704730013e+00
2.017910081206e+00 1.026865121808e+00
2.021623146821e+00 1.012012859345e+00
2.005285658112e+00 1.007928487168e+00
2.006381465281e+00 1.003545258490e+00
2.001559913736e+00 1.002339870603e+00
2.001883310486e+00 1.001046283603e+00
2.000460364785e+00 1.000690547178e+00
2.000555806265e+00 1.000308781258e+00
2.000135863752e+00 1.000203795630e+00
2.000164030628e+00 1.000091128127e+00
2.000040096372e+00 1.000060144561e+00
2.000048409036e+00 1.000026893909e+00
2.000011833328e+00 1.000017749981e+00
2.000014286575e+00 1.000007936983e+00
2.000003492280e+00 1.000005238420e+00
2.000004216292e+00 1.000002342375e+00
2.000001030629e+00 1.000001545994e+00
2.000001244327e+00 1.000000691242e+00
2.000000304771e+00 1.000000456549e+00
2.000000367740e+00 1.000000204169e+00
