# x y f(x,y)
-1.000000000000e+00 -2.000000000000e+00 -7.000000000000e+00
-8.695121951220e-01 -2.000000000000e+00 -7.017027067222e+00
-7.390243902439e-01 -2.000000000000e+00 -7.068108268888e+00
-6.085365853659e-01 -2.000000000000e+00 -7.153243604997e+00
-4.780487804878e-01 -2.000000000000e+00 -7.272433075550e+00
-3.475609756098e-01 -2.000000000000e+00 -7.425676680547e+00
-2.170731707317e-01 -2.000000000000e+00 -7.612974419988e+00
-8.658536585366e-02 -2.000000000000e+00 -7.834326293873e+00
4.390243902439e-02 -2.000000000000e+00 -8.089732302201e+00
1.743902439024e-01 -2.000000000000e+00 -8.379192444973e+00
3.048780487805e-01 -2.000000000000e+00 -8.702706722189e+00
4.353658536585e-01 -2.000000000000e+00 -9.060275133849e+00
5.658536585366e-01 -2.000000000000e+00 -9.451897679952e+00
6.963414634146e-01 -2.000000000000e+00 -9.877574360500e+00
8.268292682927e-01 -2.000000000000e+00 -1.033730517549e+01
9.573170731707e-01 -2.000000000000e+00 -1.083109012493e+01
1.087804878049e+00 -2.000000000000e+00 -1.135892920880e+01
1.218292682927e+00 -2.000000000000e+00 -1.192082242713e+01
1.348780487805e+00 -2.000000000000e+00 -1.251676977989e+01
1.479268292683e+00 -2.000000000000e+00 -1.314677126710e+01
1.609756097561e+00 -2.000000000000e+00 -1.381082688876e+01
1.740243902439e+00 -2.000000000000e+00 -1.450893664485e+01
1.870731707317e+00 -2.000000000000e+00 -1.524110053540e+01
2.001219512195e+00 -2.000000000000e+00 -1.600731856038e+01
2.131707317073e+00 -2.000000000000e+00 -1.680759071981e+01
2.262195121951e+00 -2.000000000000e+00 -1.764191701368e+01
2.392682926829e+00 -2.000000000000e+00 -1.851029744200e+01
2.523170731707e+00 -2.000000000000e+00 -1.941273200476e+01
2.653658536585e+00 -2.000000000000e+00 -2.034922070196e+01
2.784146341463e+00 -2.000000000000e+00 -2.131976353361e+01
2.914634146341e+00 -2.000000000000e+00 -2.232436049970e+01
3.045121951220e+00 -2.000000000000e+00 -2.336301160024e+01
3.175609756098e+00 -2.000000000000e+00 -2.443571683522e+01
3.306097560976e+00 -2.000000000000e+00 -2.554247620464e+01
3.436585365854e+00 -2.000000000000e+00 -2.668328970851e+01
3.567073170732e+00 -2.000000000000e+00 -2.785815734682e+01
3.697560975610e+00 -2.000000000000e+00 -2.906707911957e+01
3.828048780488e+00 -2.000000000000e+00 -3.031005502677e+01
3.958536585366e+00 -2.000000000000e+00 -3.158708506841e+01
4.089024390244e+00 -2.000000000000e+00 -3.289816924450e+01
4.219512195122e+00 -2.000000000000e+00 -3.424330755503e+01
4.350000000000e+00 -2.000000000000e+00 -3.562250000000e+01
4.480487804878e+00 -2.000000000000e+00 -3.703574657942e+01
4.610975609756e+00 -2.000000000000e+00 -3.848304729328e+01
4.741463414634e+00 -2.000000000000e+00 -3.996440214158e+01
4.871951219512e+00 -2.000000000000e+00 -4.147981112433e+01
5.002439024390e+00 -2.000000000000e+00 -4.302927424152e+01
5.132926829268e+00 -2.000000000000e+00 -4.461279149316e+01
5.263414634146e+00 -2.000000000000e+00 -4.623036287924e+01
5.393902439024e+00 -2.000000000000e+00 -4.788198839976e+01
5.524390243902e+00 -2.000000000000e+00 -4.956766805473e+01
5.654878048780e+00 -2.000000000000e+00 -5.128740184414e+01
5.785365853659e+00 -2.000000000000e+00 -5.304118976800e+01
5.915853658537e+00 -2.000000000000e+00 -5.482903182629e+01
6.046341463415e+00 -2.000000000000e+00 -5.665092801904e+01
6.176829268293e+00 -2.000000000000e+00 -5.850687834622e+01
6.307317073171e+00 -2.000000000000e+00 -6.039688280785e+01
6.437804878049e+00 -2.000000000000e+00 -6.232094140393e+01
6.568292682927e+00 -2.000000000000e+00 -6.427905413444e+01
6.698780487805e+00 -2.000000000000e+00 -6.627122099941e+01
6.829268292683e+00 -2.000000000000e+00 -6.829744199881e+01
6.959756097561e+00 -2.000000000000e+00 -7.035771713266e+01
7.090243902439e+00 -2.000000000000e+00 -7.245204640095e+01
7.220731707317e+00 -2.000000000000e+00 -7.458042980369e+01
7.351219512195e+00 -2.000000000000e+00 -7.674286734087e+01
7.481707317073e+00 -2.000000000000e+00 -7.893935901249e+01
7.612195121951e+00 -2.000000000000e+00 -8.116990481856e+01
7.742682926829e+00 -2.000000000000e+00 -8.343450475907e+01
